problem_id,contestId,index,name,rating,tags
2141-H,2141,H,Merging Vertices in a Graph,2700,"*special,dfs and similar,dsu,graphs"
2141-G,2141,G,Good Robot Paths,2800,"*special,data structures,geometry,sortings"
2141-F,2141,F,Array Reduction,2200,"*special,greedy"
2141-E,2141,E,Perfect Cut,2100,"*special,dp,greedy"
2141-D,2141,D,Avoid Minimums,1800,"*special,greedy,math"
2141-C,2141,C,Minimum on Subarrays,1800,"*special,brute force"
2141-B,2141,B,Games,1200,"*special,greedy"
2141-A,2141,A,Furniture Store,800,"*special,implementation"
2140-F,2140,F,Sum Minimisation,2900,number theory
2140-E2,2140,E2,Prime Gaming (Hard Version),2500,"bitmasks,combinatorics,dp,probabilities"
2140-E1,2140,E1,Prime Gaming (Easy Version),2200,"bitmasks,combinatorics,dp"
2140-D,2140,D,A Cruel Segment's Thesis,2000,"data structures,greedy,sortings"
2140-C,2140,C,Ultimate Value,1500,"data structures,games,greedy"
2140-B,2140,B,Another Divisibility Problem,900,"constructive algorithms,math,number theory"
2140-A,2140,A,Shift Sort,800,"greedy,sortings"
2139-B,2139,B,Cake Collection,800,greedy
2139-A,2139,A,Maple and Multiplication,800,"greedy,math"
2138-F,2138,F,Ode to the Bridge Builder,3500,"constructive algorithms,geometry"
2138-E2,2138,E2,Determinant Construction (Hard Version),3100,"brute force,constructive algorithms,math,matrices,number theory"
2138-E1,2138,E1,Determinant Construction (Easy Version),3100,"brute force,constructive algorithms,math,matrices,number theory"
2138-D,2138,D,Antiamuny and Slider Movement,2600,"brute force,combinatorics,implementation,math,sortings"
2138-C2,2138,C2,Maple and Tree Beauty (Hard Version),2000,"bitmasks,brute force,dfs and similar,dp,fft,trees"
2138-C1,2138,C1,Maple and Tree Beauty (Easy Version),1800,"brute force,dfs and similar,dp,graphs,trees"
2138-B,2138,B,Antiamuny Wants to Learn Swap,1900,"data structures,greedy,two pointers"
2138-A,2138,A,Cake Assignment,1100,"bitmasks,constructive algorithms,greedy"
2137-G,2137,G,Cry Me a River,2200,"dfs and similar,dp,games,graphs"
2137-F,2137,F,Prefix Maximum Invariance,1900,"binary search,combinatorics,data structures,sortings"
2137-E,2137,E,Mexification,1500,"brute force,implementation,math"
2137-D,2137,D,Replace with Occurrences,1200,constructive algorithms
2137-C,2137,C,Maximum Even Sum,1100,"brute force,greedy,implementation,math"
2137-B,2137,B,Fun Permutation,900,"constructive algorithms,math,number theory"
2137-A,2137,A,Collatz Conjecture,800,"constructive algorithms,math"
2136-B,2136,B,Like the Bitset,900,"constructive algorithms,greedy,two pointers"
2136-A,2136,A,In the Dream,800,"greedy,math"
2135-F,2135,F,To the Infinity,3500,"data structures,hashing,math,trees"
2135-E2,2135,E2,Beyond the Palindrome (Hard Version),3500,"combinatorics,dp,math,number theory"
2135-E1,2135,E1,Beyond the Palindrome (Easy Version),3300,"combinatorics,dp,math"
2135-D2,2135,D2,From the Unknown (Hard Version),2500,"brute force,constructive algorithms,interactive,math"
2135-D1,2135,D1,From the Unknown (Easy Version),2100,"constructive algorithms,interactive,math"
2135-C,2135,C,By the Assignment,2000,"binary search,bitmasks,combinatorics,dfs and similar,dsu,graphs,math"
2135-B,2135,B,For the Champion,1700,"constructive algorithms,interactive,math"
2135-A,2135,A,Against the Difference,1200,"data structures,dp"
2134-F,2134,F,Permutation Oddness,2900,"combinatorics,dp,math"
2134-E,2134,E,Power Boxes,2300,"constructive algorithms,dp,implementation,interactive"
2134-D,2134,D,Sliding Tree,2300,"constructive algorithms,dfs and similar,greedy,implementation,trees"
2134-C,2134,C,Even Larger,1200,"brute force,greedy,implementation"
2134-B,2134,B,Add 0 or K,1200,"constructive algorithms,math,number theory"
2134-A,2134,A,Painting With Two Colors,800,"constructive algorithms,implementation,math"
2133-F,2133,F,Flint and Steel,3000,"data structures,dp,graphs"
2133-E,2133,E,I Yearned For The Mines,2500,"constructive algorithms,dfs and similar,dp,greedy,trees"
2133-D,2133,D,Chicken Jockey,1900,"dp,greedy"
2133-C,2133,C,The Nether,1400,"graphs,interactive"
2133-B,2133,B,Villagers,800,greedy
2133-A,2133,A,Redstone?,800,"brute force,data structures,implementation,math"
2132-G,2132,G,Famous Choreographer,2600,"hashing,implementation,strings"
2132-F,2132,F,Rada and the Chamomile Valley,2100,"dfs and similar,graphs,shortest paths"
2132-E,2132,E,Arithmetics Competition,1700,"binary search,data structures,greedy,sortings,ternary search"
2132-D,2132,D,From 1 to Infinity,1600,"binary search,dp,implementation,math"
2132-C2,2132,C2,The Cunning Seller (hard version),1400,"binary search,greedy,math"
2132-C1,2132,C1,The Cunning Seller (easy version),1000,"greedy,math"
2132-B,2132,B,The Secret Number,900,math
2132-A,2132,A,Homework,800,"brute force,implementation,strings"
2131-H,2131,H,"Sea, You & copriMe",2600,"brute force,constructive algorithms,graphs,greedy,math,number theory"
2131-G,2131,G,Wafu!,2000,"bitmasks,brute force,data structures,dfs and similar,dp,math"
2131-F,2131,F,Unjust Binary Life,1900,"binary search,data structures,greedy,greedy,math,sortings,two pointers"
2131-E,2131,E,Adjacent XOR,1400,"brute force,greedy"
2131-D,2131,D,Arboris Contractio,1400,"data structures,graphs,greedy,trees"
2131-C,2131,C,Make it Equal,1100,"math,number theory"
2131-B,2131,B,Alternating Series,800,"constructive algorithms,greedy,math"
2131-A,2131,A,Lever,800,math
2130-B,2130,B,Pathless,1100,constructive algorithms
2130-A,2130,A,Submission is All You Need,800,"greedy,math"
2129-F2,2129,F2,Top-K Tracker (Hard Version),3500,"interactive,interactive"
2129-F1,2129,F1,Top-K Tracker (Easy Version),3500,interactive
2129-E,2129,E,Induced Subgraph Queries,3000,"data structures,graphs,sortings"
2129-D,2129,D,Permutation Blackhole,2600,"brute force,combinatorics,dp,implementation,math"
2129-C3,2129,C3,Interactive RBS (Hard Version),2300,"binary search,bitmasks,constructive algorithms,dp,interactive"
2129-C2,2129,C2,Interactive RBS (Medium Version),2000,"binary search,bitmasks,constructive algorithms,interactive"
2129-C1,2129,C1,Interactive RBS (Easy Version),1900,"binary search,bitmasks,constructive algorithms,interactive"
2129-B,2129,B,Stay or Mirror,1600,"brute force,data structures,dp,greedy,sortings"
2129-A,2129,A,Double Perspective,1300,"constructive algorithms,dp,dsu,graphs,greedy,sortings"
2128-F,2128,F,Strict Triangle,3200,"graphs,greedy,shortest paths"
2128-E2,2128,E2,Submedians (Hard Version),2600,"binary search,constructive algorithms,data structures,math,two pointers"
2128-E1,2128,E1,Submedians (Easy Version),1900,"binary search,data structures,dp,greedy,math"
2128-D,2128,D,Sum of LDS,1600,"brute force,combinatorics,dp,greedy,math"
2128-C,2128,C,Leftmost Below,1200,"greedy,math"
2128-B,2128,B,Deque Process,1100,"constructive algorithms,greedy,sortings,two pointers"
2128-A,2128,A,Recycling Center,800,"greedy,sortings"
2127-H,2127,H,23 Rises Again,3100,"brute force,dfs and similar,dp,flows,graph matchings,graphs,greedy,implementation,probabilities,trees"
2127-G2,2127,G2,Inter Active (Hard Version),3500,"binary search,bitmasks,constructive algorithms,graphs,implementation,interactive,math,probabilities"
2127-G1,2127,G1,Inter Active (Easy Version),3400,"binary search,constructive algorithms,interactive,probabilities"
2127-F,2127,F,Hamed and AghaBalaSar,2800,"brute force,combinatorics,dp,math,probabilities"
2127-E,2127,E,Ancient Tree,2100,"constructive algorithms,data structures,dfs and similar,dsu,greedy,trees"
2127-D,2127,D,"Root was Built by Love, Broken by Destiny",1800,"combinatorics,dfs and similar,graphs,trees"
2127-C,2127,C,Trip Shopping,1400,"games,greedy,sortings"
2127-B,2127,B,"Hamiiid, Haaamid... Hamid?",1300,"games,greedy"
2127-A,2127,A,Mix Mex Max,800,"constructive algorithms,greedy,math"
2126-G2,2126,G2,Big Wins!  (hard version),2400,"binary search,data structures,divide and conquer,dsu,trees,two pointers"
2126-G1,2126,G1,Big Wins! (easy version),2200,"binary search,data structures,dp,dsu,two pointers"
2126-F,2126,F,"1-1-1, Free Tree!",2000,"brute force,data structures,dfs and similar,graphs,implementation,trees"
2126-E,2126,E,"G-C-D, Unlucky!",1400,"math,number theory"
2126-D,2126,D,This Is the Last Time,1200,"data structures,greedy,sortings"
2126-C,2126,C,I Will Definitely Make It,1100,"greedy,sortings"
2126-B,2126,B,No Casino in the Mountains,800,"dp,greedy"
2126-A,2126,A,Only One Digit,800,"brute force,implementation,math"
2125-F,2125,F,Timofey and Docker,3000,"binary search,divide and conquer,dp"
2125-E,2125,E,Sets of Complementary Sums,2500,"brute force,combinatorics,dp,math,two pointers"
2125-D,2125,D,Segments Covering,1600,"dp,math,probabilities"
2125-C,2125,C,Count Good Numbers,1100,"bitmasks,combinatorics,math,number theory"
2125-B,2125,B,Left and Down,900,"math,number theory"
2125-A,2125,A,Difficult Contest,800,"constructive algorithms,implementation,sortings,strings"
2124-I,2124,I,Lexicographic Partition,3500,"constructive algorithms,math,trees"
2124-H,2124,H,Longest Good Subsequence,3400,"dp,math,trees"
2124-G,2124,G,Maximise Sum,3200,"binary search,data structures"
2124-F2,2124,F2,Appending Permutations (Hard Version),2800,"combinatorics,dp"
2124-F1,2124,F1,Appending Permutations (Easy Version),2300,"combinatorics,dp"
2124-E,2124,E,Make it Zero,2100,"constructive algorithms,greedy,math"
2124-D,2124,D,Make a Palindrome,1700,"greedy,sortings,two pointers"
2124-C,2124,C,Subset Multiplication,1300,"constructive algorithms,greedy,math,number theory"
2124-B,2124,B,Minimise Sum,1000,greedy
2124-A,2124,A,Deranged Deletions,800,"greedy,sortings"
2123-G,2123,G,Modular Sorting,2100,"brute force,data structures,greedy,math,number theory,sortings"
2123-F,2123,F,Minimize Fixed Points,1700,"constructive algorithms,number theory"
2123-E,2123,E,MEX Count,1400,"binary search,data structures,greedy,sortings,two pointers"
2123-D,2123,D,Binary String Battle,1200,"constructive algorithms,games,greedy"
2123-C,2123,C,Prefix Min and Suffix Max,1000,"brute force,data structures"
2123-B,2123,B,Tournament,800,greedy
2123-A,2123,A,Blackboard Game,800,math
2122-G,2122,G,Tree Parking,3300,"combinatorics,fft,math,trees"
2122-F,2122,F,Colorful Polygon,3400,"constructive algorithms,divide and conquer,geometry"
2122-E,2122,E,Greedy Grid Counting,2600,"combinatorics,dp,greedy,math"
2122-D,2122,D,Traffic Lights,2400,"brute force,data structures,divide and conquer,dp,graphs,greedy,shortest paths"
2122-C,2122,C,Manhattan Pairs,1700,"constructive algorithms,geometry,greedy,math,sortings"
2122-B,2122,B,Pile Shuffling,1100,"greedy,math"
2122-A,2122,A,Greedy Grid,800,"constructive algorithms,greedy"
2121-H,2121,H,Ice Baby,2300,"binary search,brute force,data structures,dp,implementation,sortings"
2121-G,2121,G,Gangsta,1900,"data structures,divide and conquer,math,sortings"
2121-F,2121,F,Yamakasi,1800,"binary search,brute force,data structures,greedy,two pointers"
2121-E,2121,E,Sponsor of Your Problems,1500,"dp,greedy,implementation,strings"
2121-D,2121,D,1709,1300,"implementation,sortings"
2121-C,2121,C,Those Who Are With Us,1200,"greedy,greedy,implementation"
2121-B,2121,B,Above the Clouds,800,"constructive algorithms,greedy,strings"
2121-A,2121,A,Letter Home,800,"brute force,math"
2120-G,2120,G,Eulerian Line Graph,3000,"graphs,greedy,math"
2120-F,2120,F,Superb Graphs,2600,"2-sat,graphs"
2120-E,2120,E,Lanes of Cars,2300,"binary search,dp,ternary search"
2120-D,2120,D,Matrix game,1800,"combinatorics,math"
2120-C,2120,C,Divine Tree,1400,"constructive algorithms,greedy,math,sortings,trees"
2120-B,2120,B,Square Pool,1000,geometry
2120-A,2120,A,Square of Rectangles,800,"geometry,math"
2119-F,2119,F,Volcanic Eruptions,3300,"dfs and similar,dp,greedy,shortest paths,trees"
2119-E,2119,E,And Constraint,2600,"bitmasks,dp,greedy"
2119-D,2119,D,Token Removing,2100,"combinatorics,dp,math"
2119-C,2119,C,A Good Problem,1300,"bitmasks,constructive algorithms,math"
2119-B,2119,B,Line Segments,1200,"geometry,greedy,math"
2119-A,2119,A,Add or XOR,800,"bitmasks,greedy,math"
2118-F,2118,F,Shifts and Swaps,3100,"data structures,graphs,hashing,trees"
2118-E,2118,E,Grid Coloring,2400,"constructive algorithms,geometry,greedy,math"
2118-D2,2118,D2,"Red Light, Green Light (Hard version)",2200,"binary search,brute force,data structures,dfs and similar,dp,graphs,implementation,math,number theory"
2118-D1,2118,D1,"Red Light, Green Light (Easy version)",1700,"brute force,dfs and similar,dp,graphs,implementation,number theory"
2118-C,2118,C,Make It Beautiful,1300,"bitmasks,data structures,greedy,math"
2118-B,2118,B,Make It Permutation,1200,constructive algorithms
2118-A,2118,A,Equal Subsequences,800,"constructive algorithms,greedy"
2117-H,2117,H,Incessant Rain,2500,"data structures,divide and conquer,sortings"
2117-G,2117,G,Omg Graph,1900,"brute force,dsu,graphs,greedy,shortest paths,sortings"
2117-F,2117,F,Wildflower,1800,"combinatorics,dfs and similar,trees"
2117-E,2117,E,Lost Soul,1600,"brute force,greedy"
2117-D,2117,D,Retaliation,1200,"binary search,math,number theory"
2117-C,2117,C,Cool Partition,1200,"data structures,greedy"
2117-B,2117,B,Shrink,800,constructive algorithms
2117-A,2117,A,False Alarm,800,"greedy,implementation"
2116-B,2116,B,Gellyfish and Baby's Breath,1300,"greedy,math,sortings"
2116-A,2116,A,Gellyfish and Tricolor Pansy,800,"games,greedy"
2115-F2,2115,F2,Gellyfish and Lycoris Radiata (Hard Version),3500,data structures
2115-F1,2115,F1,Gellyfish and Lycoris Radiata (Easy Version),3500,data structures
2115-E,2115,E,Gellyfish and Mayflower,3500,"dp,graphs"
2115-D,2115,D,Gellyfish and Forget-Me-Not,2900,"bitmasks,dp,games,greedy,math"
2115-C,2115,C,Gellyfish and Eternal Violet,2700,"combinatorics,dp,greedy,math,probabilities"
2115-B,2115,B,Gellyfish and Camellia Japonica,2100,"brute force,constructive algorithms,dfs and similar,dp,graphs,greedy,trees"
2115-A,2115,A,Gellyfish and Flaming Peony,1500,"constructive algorithms,dp,math,number theory"
2114-G,2114,G,Build an Array,2200,"brute force,constructive algorithms,dp,greedy,math,number theory"
2114-F,2114,F,Small Operations,2000,"binary search,brute force,dfs and similar,dp,math,number theory,sortings"
2114-E,2114,E,Kirei Attacks the Estate,1400,"dfs and similar,dp,greedy,trees"
2114-D,2114,D,Come a Little Closer,1400,"brute force,greedy,implementation,math"
2114-C,2114,C,Need More Arrays,1000,"dp,greedy"
2114-B,2114,B,Not Quite a Palindromic String,900,"greedy,math"
2114-A,2114,A,Square Year,800,"binary search,brute force,math"
2113-F,2113,F,Two Arrays,2500,"constructive algorithms,dfs and similar,graphs,math"
2113-E,2113,E,From Kazan with Love,2800,"dfs and similar,graphs,implementation,trees"
2113-D,2113,D,Cheater,2200,"binary search,constructive algorithms,greedy,implementation"
2113-C,2113,C,Smilo and Minecraft,1700,"brute force,constructive algorithms,greedy"
2113-B,2113,B,Good Start,1200,"constructive algorithms,math"
2113-A,2113,A,Shashliks,800,"greedy,math"
2112-F,2112,F,Variables and Operations,2800,"graphs,greedy,shortest paths"
2112-E,2112,E,Tree Colorings,2200,"combinatorics,dfs and similar,dp,graphs,math,number theory,trees"
2112-D,2112,D,Reachability and Tree,1700,"constructive algorithms,dfs and similar,graphs,trees"
2112-C,2112,C,Coloring Game,1300,"binary search,brute force,greedy,two pointers"
2112-B,2112,B,Shrinking Array,1100,"brute force,greedy"
2112-A,2112,A,Race,800,"implementation,math"
2111-G,2111,G,Divisible Subarrays,2900,"binary search,bitmasks,brute force,data structures,interactive"
2111-F,2111,F,Puzzle,2400,"brute force,constructive algorithms,greedy,math"
2111-E,2111,E,Changing the String,1900,"binary search,data structures,greedy,implementation,sortings,strings"
2111-D,2111,D,Creating a Schedule,1400,"constructive algorithms,data structures,greedy,implementation,sortings"
2111-C,2111,C,Equal Values,1100,"brute force,greedy,two pointers"
2111-B,2111,B,Fibonacci Cubes,1100,"brute force,dp,implementation,math"
2111-A,2111,A,Energy Crystals,800,"greedy,implementation,math"
2110-F,2110,F,Faculty,2400,"brute force,greedy,math,number theory"
2110-E,2110,E,Melody,2300,"dfs and similar,graphs,implementation"
2110-D,2110,D,Fewer Batteries,1700,"binary search,dfs and similar,dp,graphs,greedy,hashing"
2110-C,2110,C,Racing,1400,"constructive algorithms,greedy"
2110-B,2110,B,Down with Brackets,900,strings
2110-A,2110,A,Fashionable Array,800,"implementation,sortings"
2109-F,2109,F,Penguin Steps,3000,"binary search,dfs and similar,flows,graphs,shortest paths"
2109-E,2109,E,Binary String Wowee,2400,"combinatorics,dp,strings"
2109-D,2109,D,D/D/D,1900,"dfs and similar,graphs,greedy,shortest paths"
2109-C3,2109,C3,Hacking Numbers (Hard Version),2600,"constructive algorithms,interactive,math,number theory"
2109-C2,2109,C2,Hacking Numbers (Medium Version),1700,"constructive algorithms,interactive,math,number theory"
2109-C1,2109,C1,Hacking Numbers (Easy Version),1500,"bitmasks,constructive algorithms,interactive,math,number theory"
2109-B,2109,B,Slice to Survive,1200,"bitmasks,greedy,math"
2109-A,2109,A,It's Time To Duel,800,implementation
2108-F,2108,F,Fallen Towers,2900,"binary search,greedy"
2108-E,2108,E,Spruce Dispute,2600,"constructive algorithms,dfs and similar,graphs,greedy,implementation,shortest paths,trees"
2108-D,2108,D,Needle in a Numstack,2200,"binary search,brute force,implementation,interactive"
2108-C,2108,C,Neo's Escape,1500,"binary search,brute force,data structures,dp,dsu,graphs,greedy,implementation"
2108-B,2108,B,SUMdamental Decomposition,1300,"bitmasks,constructive algorithms,greedy,implementation,math"
2108-A,2108,A,Permutation Warm-Up,800,"combinatorics,greedy,math"
2107-F2,2107,F2,Cycling (Hard Version),2800,"binary search,brute force,data structures,dp,greedy"
2107-F1,2107,F1,Cycling (Easy Version),2300,"binary search,brute force,dp,greedy"
2107-E,2107,E,Ain and Apple Tree,2600,"binary search,constructive algorithms,greedy,math,trees"
2107-D,2107,D,Apple Tree Traversing,2100,"brute force,dfs and similar,greedy,implementation,trees"
2107-C,2107,C,Maximum Subarray Sum,1500,"binary search,constructive algorithms,dp,implementation,math"
2107-B,2107,B,Apples in Boxes,1100,"games,greedy,math"
2107-A,2107,A,LRC and VIP,800,"greedy,number theory"
2106-G2,2106,G2,Baudelaire (hard version),2500,"binary search,dfs and similar,divide and conquer,implementation,interactive,trees"
2106-G1,2106,G1,Baudelaire (easy version),2200,"binary search,constructive algorithms,divide and conquer,greedy,interactive,trees"
2106-F,2106,F,Goblin,1900,"dfs and similar,dp,dsu,greedy,math"
2106-E,2106,E,Wolf,1800,"binary search,greedy,math"
2106-D,2106,D,Flower Boy,1500,"binary search,dp,greedy,two pointers"
2106-C,2106,C,Cherry Bomb,1000,"greedy,math,sortings"
2106-B,2106,B,St. Chroma,900,"constructive algorithms,greedy,math"
2106-A,2106,A,Dr. TC,800,"brute force,math"
2104-G,2104,G,Modulo 3,2700,"data structures,divide and conquer,dsu,graphs,trees"
2104-F,2104,F,Numbers and Strings,2600,"binary search,brute force,dfs and similar,dp,implementation,math"
2104-E,2104,E,Unpleasant Strings,1700,"binary search,dp,greedy,strings"
2104-D,2104,D,Array and GCD,1400,"binary search,greedy,math,number theory"
2104-C,2104,C,Card Game,1100,"brute force,constructive algorithms,games,greedy,math"
2104-B,2104,B,Move to the End,1000,"brute force,data structures,dp,greedy,implementation"
2104-A,2104,A,Three Decks,800,math
2103-F,2103,F,Maximize Nor,2600,"bitmasks,data structures,dp,implementation,sortings"
2103-E,2103,E,Keep the Sum,2600,"constructive algorithms,implementation,two pointers"
